date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:49:48	105/105	---MCZ	200	added ('OK')	text/plain	date:Thu,%2002%20Nov%202023%2007:49:48%20GMT	https://www.scandosolutions.com/robots.txt		(from )
09:49:49	63880/63880	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2007:49:48%20GMT	https://www.scandosolutions.com/	C:/My%20Web%20Sites/scando/www.scandosolutions.com/index.html	(from )
09:49:49	5821/5821	---M--	200	added ('OK')	image/png	etag:%2263d9207b-16bd%22	https://www.scandosolutions.com/web/image/website/2/logo	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/image/website/2/Scando.png	(from https://www.scandosolutions.com/)
09:49:49	48734/48734	---M--	200	added ('OK')	image/x-icon	etag:%2263dfed3c-be5e%22	https://www.scandosolutions.com/web/image/website/2/favicon?unique=0aebb0e	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/image/website/2/Scandofcbe	(from https://www.scandosolutions.com/)
09:49:49	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%22633ec096-12d68%22	https://www.scandosolutions.com/web/static/src/libs/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/static/src/libs/fontawesome/fonts/fontawesome-webfont3e6e.woff2	(from https://www.scandosolutions.com/)
09:49:49	865759/865759	---MCZ	200	added ('OK')	text/css	etag:W/%22653f963f-d35df%22	https://www.scandosolutions.com/web/assets/11191-9eefe96/2/web.assets_frontend.min.css	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/assets/11191-9eefe96/2/web.assets_frontend.min.css	(from https://www.scandosolutions.com/)
09:49:50	22544/22544	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264e31df1-5810%22	https://www.scandosolutions.com/web/assets/10243-e14c648/2/web.assets_frontend_minimal.min.js	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/assets/10243-e14c648/2/web.assets_frontend_minimal.min.js	(from https://www.scandosolutions.com/)
09:49:50	338/338	---M--	303	error ('SEE%20OTHER')	text/html	date:Thu,%2002%20Nov%202023%2007:49:50%20GMT	https://www.scandosolutions.com/website/social/facebook	C:/My%20Web%20Sites/scando/www.scandosolutions.com/website/social/facebook	(from https://www.scandosolutions.com/)
09:49:50	320/320	---M--	303	error ('SEE%20OTHER')	text/html	date:Thu,%2002%20Nov%202023%2007:49:50%20GMT	https://www.scandosolutions.com/website/social/instagram	C:/My%20Web%20Sites/scando/www.scandosolutions.com/website/social/instagram	(from https://www.scandosolutions.com/)
09:49:50	306/306	---M--	303	error ('SEE%20OTHER')	text/html	date:Thu,%2002%20Nov%202023%2007:49:50%20GMT	https://www.scandosolutions.com/website/social/linkedin	C:/My%20Web%20Sites/scando/www.scandosolutions.com/website/social/linkedin	(from https://www.scandosolutions.com/)
09:49:51	16329/16329	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2007:49:51%20GMT	https://www.scandosolutions.com/web/login	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/login.html	(from https://www.scandosolutions.com/)
09:49:51	5821/5821	---M--	200	added ('OK')	image/png	etag:%2263d9207b-16bd%22	https://www.scandosolutions.com/web/image/website/2/logo/Scando?unique=0aebb0e	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/image/website/2/logo/Scandofcbe.png	(from https://www.scandosolutions.com/)
09:49:52	54602/54602	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2007:49:52%20GMT	https://www.scandosolutions.com/start-up	C:/My%20Web%20Sites/scando/www.scandosolutions.com/start-up.html	(from https://www.scandosolutions.com/)
09:49:53	50804/50804	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2007:49:53%20GMT	https://www.scandosolutions.com/business-process-management	C:/My%20Web%20Sites/scando/www.scandosolutions.com/business-process-management.html	(from https://www.scandosolutions.com/)
09:49:53	54885/54885	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2007:49:53%20GMT	https://www.scandosolutions.com/odoo	C:/My%20Web%20Sites/scando/www.scandosolutions.com/odoo.html	(from https://www.scandosolutions.com/)
09:49:54	51471/51471	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2007:49:54%20GMT	https://www.scandosolutions.com/about-us	C:/My%20Web%20Sites/scando/www.scandosolutions.com/about-us.html	(from https://www.scandosolutions.com/)
09:49:54	238/238	---M--	302	error ('FOUND')	text/html	date:Thu,%2002%20Nov%202023%2007:49:54%20GMT	https://www.scandosolutions.com/blog	C:/My%20Web%20Sites/scando/www.scandosolutions.com/blog	(from https://www.scandosolutions.com/)
09:49:55	22915/22915	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2007:49:55%20GMT	https://www.scandosolutions.com/blog/our-blog-1	C:/My%20Web%20Sites/scando/www.scandosolutions.com/blog/our-blog-1.html	(from https://www.scandosolutions.com/)
09:49:55	17097/17097	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Thu,%2002%20Nov%202023%2007:49:55%20GMT	https://www.scandosolutions.com/careers	C:/My%20Web%20Sites/scando/www.scandosolutions.com/careers	(from https://www.scandosolutions.com/)
09:49:56	22784/22784	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2007:49:56%20GMT	https://www.scandosolutions.com/helpdesk/support-1	C:/My%20Web%20Sites/scando/www.scandosolutions.com/helpdesk/support-1.html	(from https://www.scandosolutions.com/)
09:49:56	50839/50839	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2007:49:56%20GMT	https://www.scandosolutions.com/contactus	C:/My%20Web%20Sites/scando/www.scandosolutions.com/contactus.html	(from https://www.scandosolutions.com/)
09:49:57	17182/17182	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Thu,%2002%20Nov%202023%2007:49:57%20GMT	https://www.scandosolutions.com/%22/unsplash/M2Kxb80gqcc/journey.jpg?unique=661080f4%22	C:/My%20Web%20Sites/scando/www.scandosolutions.com/_/unsplash/M2Kxb80gqcc/journey8f72.jpg	(from https://www.scandosolutions.com/)
09:49:57	17186/17186	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Thu,%2002%20Nov%202023%2007:49:57%20GMT	https://www.scandosolutions.com/%22/web/image/4770-8d6e9055/1.png%22	C:/My%20Web%20Sites/scando/www.scandosolutions.com/_/web/image/4770-8d6e9055/1.png_	(from https://www.scandosolutions.com/)
09:49:57	247899/247899	---M--	200	added ('OK')	image/png	etag:%2263df890f-3c85b%22	https://www.scandosolutions.com/web/image/8267-c2c1a122/2.png	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/image/8267-c2c1a122/2.png	(from https://www.scandosolutions.com/)
09:49:58	154119/154119	---M--	200	added ('OK')	image/png	etag:%2263df890f-25a07%22	https://www.scandosolutions.com/web/image/4575-2e0207c0/3.png	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/image/4575-2e0207c0/3.png	(from https://www.scandosolutions.com/)
09:49:58	229435/229435	---M--	200	added ('OK')	image/png	etag:%2263df890f-3803b%22	https://www.scandosolutions.com/web/image/4576-7d6ecddc/4.png	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/image/4576-7d6ecddc/4.png	(from https://www.scandosolutions.com/)
09:49:58	17215/17215	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Thu,%2002%20Nov%202023%2007:49:58%20GMT	https://www.scandosolutions.com/%22/web_editor/shape/web_editor/Airy/12_001.svg?c1=%2300F260&c3=%231C58DD%22	C:/My%20Web%20Sites/scando/www.scandosolutions.com/_/web_editor/shape/web_editor/Airy/12_0018ac4.svg	(from https://www.scandosolutions.com/)
09:49:58	56732/56732	---M--	200	added ('OK')	image/png	etag:%2263e24241-dd9c%22	https://www.scandosolutions.com/web/image/6487-cdff9727/odoo_ready_partners_rgb.png	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/image/6487-cdff9727/odoo_ready_partners_rgb.png	(from https://www.scandosolutions.com/)
09:49:58	20555/20555	---M--	200	added ('OK')	image/png	etag:%2263e38d4c-504b%22	https://www.scandosolutions.com/web/image/4936-c94eb856/solgan.png	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/image/4936-c94eb856/solgan.png	(from https://www.scandosolutions.com/)
09:49:59	11621/11621	---M--	200	added ('OK')	image/jpeg	etag:%226447b901-2d65%22	https://www.scandosolutions.com/web/image/8376-d2605306/89b5c973-3735-4401-a731-58de5382b041.jpeg	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/image/8376-d2605306/89b5c973-3735-4401-a731-58de5382b041.jpeg	(from https://www.scandosolutions.com/)
09:49:59	40609/40609	---M--	200	added ('OK')	image/png	etag:%226447b5c5-9ea1%22	https://www.scandosolutions.com/web/image/8377-69c45570/download.png	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/image/8377-69c45570/download.png	(from https://www.scandosolutions.com/)
09:49:59	19453/19453	---M--	200	added ('OK')	image/jpeg	etag:%226447b41d-4bfd%22	https://www.scandosolutions.com/web/image/8378-ce77f868/RAW.jpg	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/image/8378-ce77f868/RAW.jpg	(from https://www.scandosolutions.com/)
09:49:59	28920/28920	---M--	200	added ('OK')	image/png	etag:%2263e8cde1-70f8%22	https://www.scandosolutions.com/web/image/8380-7df4372b/FFF.png	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/image/8380-7df4372b/FFF.png	(from https://www.scandosolutions.com/)
09:50:00	15543/15543	---M--	200	added ('OK')	image/jpeg	etag:%226447b41d-3cb7%22	https://www.scandosolutions.com/web/image/8379-fb3d475f/EES-LOGO.jpg	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/image/8379-fb3d475f/EES-LOGO.jpg	(from https://www.scandosolutions.com/)
09:50:00	3067/3067	---M--	200	added ('OK')	image/png	etag:%2263df8d5f-bfb%22	https://www.scandosolutions.com/web/image/4584-b3689053/5.png	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/image/4584-b3689053/5.png	(from https://www.scandosolutions.com/)
09:50:00	2175/2175	---M--	200	added ('OK')	image/png	etag:%2263df8d5f-87f%22	https://www.scandosolutions.com/web/image/4585-9c373cbc/6.png	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/image/4585-9c373cbc/6.png	(from https://www.scandosolutions.com/)
09:50:00	56741/56741	---M--	200	added ('OK')	image/png	etag:%226437da4d-dda5%22	https://www.scandosolutions.com/web/image/8237-a8316a57/7.png	C:/My%20Web%20Sites/scando/www.scandosolutions.com/web/image/8237-a8316a57/7.png	(from https://www.scandosolutions.com/)
